Date,Open,High,Low,Close,Volume
1559433600,264.33,273.2,263.2,268.88,301536.15062
1559520000,268.87,270.0,248.0,249.91,397360.65275
1559606400,250.02,251.67,234.39,241.39,633822.7124600001
1559692800,241.46,250.41,237.37,245.63,335953.37927
1559779200,245.62,250.66,235.01,248.76,297579.14734
1559865600,248.77,253.28,243.46,248.77,353378.6568
1559952000,248.78,250.53,240.37,243.25,188448.27748
1560038400,243.33,244.53,226.56,230.98,316931.85638
1560124800,231.02,247.45,227.03,246.51,314662.52637
1560211200,246.61,247.8,236.49,244.29,237508.42798
1560297600,244.36,261.87,242.2,261.15,336499.3016
1560384000,261.13,262.98,253.69,254.67,291757.21635
1560470400,254.67,264.26,251.75,262.47,327383.28236
1560556800,262.48,272.27,260.61,267.82,286594.98029000004
1560643200,267.78,277.06,263.31,267.73,458176.54236
1560729600,267.73,276.0,266.81,273.16,339277.66706999997
1560816000,273.14,273.58,261.45,264.66,319941.55156
1560902400,264.68,270.0,263.59,268.14,208375.68381
1560988800,268.16,273.63,265.71,271.22,200717.7737
1561075200,271.27,295.94,271.22,294.35,519818.06906999997
1561161600,294.25,314.39,289.69,310.79,726254.67061
1561248000,310.7,321.7,305.58,308.52,418812.02747
1561334400,308.42,314.41,298.0,311.64,352791.26964
1561420800,311.65,318.99,307.0,318.26,345559.65047
1561507200,318.29,366.8,315.57,339.39,1008551.28721
1561593600,339.53,347.0,280.01,298.35,1016826.449
1561680000,298.35,313.58,295.22,311.05,529174.47722
1561766400,310.95,324.74,295.18,317.62,425555.16264
1561852800,317.64,323.5,290.12,292.7,489028.56835
1561939200,292.89,303.49,280.13,295.07,489769.27421000006
1562025600,295.03,297.57,272.65,291.48,493772.96579
1562112000,291.47,302.89,285.0,301.14,370521.96637
1562198400,301.11,302.74,280.53,282.73,270791.36878
1562284800,282.86,294.89,280.78,287.47,261139.28341
1562371200,287.32,296.71,285.28,288.29,196064.64705
1562457600,288.29,309.69,284.25,304.72,246111.36595
1562544000,304.72,313.74,300.78,311.97,289607.34177
1562630400,311.96,318.19,302.69,307.46,309447.34927
1562716800,307.46,314.18,281.04,289.23,457080.94063
1562803200,289.23,289.23,262.12,268.63,501592.75211000006
1562889600,268.67,278.99,266.21,274.62,266734.54213
1562976000,274.53,275.04,262.2,268.79,205959.26849000002
1563062400,268.8,269.74,222.81,225.85,540052.58421
1563148800,225.83,235.58,203.08,228.2,715991.2068800001
1563235200,228.2,234.5,192.25,198.88,715604.83198
1563321600,198.94,219.86,191.84,210.81,694854.10132
1563408000,210.8,229.65,205.71,225.73,609081.4909399999
1563494400,225.75,226.23,212.52,220.73,371622.21865
1563580800,220.84,235.09,219.78,228.2,325393.97225
1563667200,228.25,229.66,216.99,225.38,270046.1519
1563753600,225.49,228.34,212.25,217.51,271310.40446
1563840000,217.59,219.55,208.36,212.48,317876.48241999996
1563926400,212.55,218.28,202.0,216.31,331162.6484
1564012800,216.31,225.12,215.23,219.14,280370.29627
1564099200,219.14,220.0,212.71,218.81,197781.98653
1564185600,218.81,223.3,203.0,207.3,301209.41113
1564272000,207.3,213.52,198.24,211.62,218801.16693
1564358400,211.58,215.83,206.59,210.89,226941.28
1564444800,210.84,214.36,204.4,209.58,222683.79393
1564531200,209.57,218.79,209.2,218.42,207213.55658
1564617600,218.42,219.39,210.54,216.84,186806.18844
1564704000,216.8,222.18,214.31,217.61,206867.03039
1564790400,217.69,224.51,216.62,222.14,181591.95296
1564876800,222.14,223.34,216.9,221.79,135622.0258
1564963200,221.79,236.25,221.79,233.54,307956.27210999996
1565049600,233.53,239.15,223.03,226.28,341279.08159
1565136000,226.31,231.25,220.95,226.1,279104.7037
1565222400,226.11,228.5,215.51,221.39,236886.35423000003
1565308800,221.38,221.79,207.3,210.53,232062.12756999998
1565395200,210.52,215.0,202.6,206.48,252614.02389
1565481600,206.48,216.94,206.14,216.42,188474.09047999998
1565568000,216.41,216.81,209.75,211.41,122760.94619
1565654400,211.58,214.3,204.0,209.3,166922.48200999998
